DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,2116.5534900000002,42913.78292,4.93
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1674.82874,40537.88648,4.13
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,784.61342,31106.77858,2.52
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1456.8013999999998,48432.4761,3.01
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,979.52045,18516.962340000002,5.29
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,517.88668,22940.98648,2.26
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,5886.62262,144451.91858,4.08
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,8790.958990000001,165691.14408,5.31
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,280.39982,6869.31982,4.08
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,158.6,5955.10852,2.66
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,14775.50036,516493.80421,2.86
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,549.7,22090.16506,2.49
28/02/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,Z1E5K,Health Services Safety Investigations Body,Others,61.0,1378.91996,4.42
28/02/2025,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,220.8,9741.08,2.27
28/02/2025,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1245.78362,28172.35453,4.42
28/02/2025,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,404.30645,18432.51387,2.19
28/02/2025,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,30103.18407,634981.60917,4.74
28/02/2025,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,10341.44224,201831.64806,5.12
28/02/2025,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,17156.18261,374229.01677,4.58
28/02/2025,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,6770.30913,127717.7905,5.3
28/02/2025,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,17491.06258,228303.81670999998,7.66
28/02/2025,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,7977.27881,172759.91986,4.62
28/02/2025,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,656.3903300000001,12024.02926,5.46
28/02/2025,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,954.25333,25509.4068,3.74
28/02/2025,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,25876.04493,557962.4914,4.64
28/02/2025,Y56,London,QMF,North East London,RAT,North East London NHS Foundation Trust,Mental Health,10266.17235,211504.80447,4.85
28/02/2025,Y56,London,QMF,North East London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute,10622.73012,234313.29747,4.53
28/02/2025,Y56,London,QMF,North East London,RQX,Homerton Healthcare NHS Foundation Trust,Acute,5662.10641,120575.51645,4.7
28/02/2025,Y56,London,QMF,North East London,RWK,East London NHS Foundation Trust,Mental Health,11574.70817,201824.37409,5.74
28/02/2025,Y56,London,QMJ,North Central London,G6V2S,North London NHS Foundation Trust,Mental Health,7668.66279,165699.25877,4.63
28/02/2025,Y56,London,QMJ,North Central London,QMJ,NHS North Central London ICB,Integrated Care Board,383.24667,16983.4378,2.26
28/02/2025,Y56,London,QMJ,North Central London,RAL,Royal Free London NHS Foundation Trust,Acute,22938.15966,523090.75541,4.39
28/02/2025,Y56,London,QMJ,North Central London,RKE,Whittington Health NHS Trust,Acute,6286.52864,141752.25145,4.43
28/02/2025,Y56,London,QMJ,North Central London,RNK,Tavistock and Portman NHS Foundation Trust,Mental Health,674.73708,20014.58333,3.37
28/02/2025,Y56,London,QMJ,North Central London,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Acute,6492.60312,166573.29549,3.9
28/02/2025,Y56,London,QMJ,North Central London,RP6,Moorfields Eye Hospital NHS Foundation Trust,Acute,3748.39354,71422.06425,5.25
28/02/2025,Y56,London,QMJ,North Central London,RRV,University College London Hospitals NHS Foundation Trust,Acute,14293.64196,314341.30363,4.55
28/02/2025,Y56,London,QMJ,North Central London,RV3,Central and North West London NHS Foundation Trust,Mental Health,9303.23767,232406.41344,4.0
28/02/2025,Y56,London,QRV,North West London,QRV,NHS North West London ICB,Integrated Care Board,998.60574,20933.07028,4.77
28/02/2025,Y56,London,QRV,North West London,R1K,London North West University Healthcare NHS Trust,Acute,11949.78925,251294.58935,4.76
28/02/2025,Y56,London,QRV,North West London,RAN,Royal National Orthopaedic Hospital NHS Trust,Acute,2028.20784,48296.50138,4.2
28/02/2025,Y56,London,QRV,North West London,RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,5142.26759,98868.76851,5.2
28/02/2025,Y56,London,QRV,North West London,RKL,West London NHS Trust,Mental Health,7744.7809799999995,152166.43698,5.09
28/02/2025,Y56,London,QRV,North West London,RPY,Royal Marsden NHS Foundation Trust,Acute,5976.87323,130676.85148,4.57
28/02/2025,Y56,London,QRV,North West London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Acute,7472.97446,202163.85655,3.7
