Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,,,,,,a
MSitAE-SEPTEMBER-2024,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2834,0,0,0,0,0,50,0,0,0,0,0,0,0,0,114,,,,,,
MSitAE-SEPTEMBER-2024,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,5599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,2605,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2638,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1749,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,1011,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5011,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2297,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2304,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7222,0,1456,0,0,0,3015,0,0,0,0,0,543,293,1554,0,0,427,,,,,,
MSitAE-SEPTEMBER-2024,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,57,,,,,,
MSitAE-SEPTEMBER-2024,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,14877,0,0,0,0,0,4629,0,0,0,0,0,1150,4,3005,0,0,343,,,,,,
MSitAE-SEPTEMBER-2024,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8420,0,9821,286,0,238,3917,0,59,100,0,0,362,721,2461,0,0,1367,,,,,,
MSitAE-SEPTEMBER-2024,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4248,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6235,0,3242,375,0,127,3248,0,22,180,0,0,363,82,2083,0,0,1131,,,,,,
MSitAE-SEPTEMBER-2024,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,,,,,,
MSitAE-SEPTEMBER-2024,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,
MSitAE-SEPTEMBER-2024,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10289,0,0,0,0,0,3736,0,0,0,0,0,495,674,3107,0,0,839,,,,,,
MSitAE-SEPTEMBER-2024,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1181,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,15014,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7268,0,0,427,0,0,175,0,0,6,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,6915,0,7765,0,0,0,3327,0,217,0,0,0,270,185,2009,0,147,290,,,,,,
MSitAE-SEPTEMBER-2024,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5056,0,1016,358,0,28,1506,0,0,76,0,0,135,3,1095,0,0,278,,,,,,
MSitAE-SEPTEMBER-2024,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8884,166,5169,0,0,0,4692,0,98,0,0,0,641,430,2791,0,0,1289,,,,,,
MSitAE-SEPTEMBER-2024,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10778,0,0,1,0,0,1837,0,0,0,0,0,208,17,1806,0,0,315,,,,,,
MSitAE-SEPTEMBER-2024,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9511,0,0,0,0,0,3084,0,0,0,0,0,474,251,2648,0,0,620,,,,,,
MSitAE-SEPTEMBER-2024,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15299,1752,7678,433,0,0,7794,101,165,77,0,0,1820,810,4734,0,0,2822,,,,,,
MSitAE-SEPTEMBER-2024,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8612,0,0,31,0,0,3099,0,0,0,0,0,457,0,2862,0,0,478,,,,,,
MSitAE-SEPTEMBER-2024,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8784,0,1934,358,0,26,4221,0,78,92,0,0,747,747,2313,0,0,711,,,,,,
MSitAE-SEPTEMBER-2024,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5764,0,3239,28,0,1,2545,0,32,7,0,0,938,0,1566,0,0,61,,,,,,
MSitAE-SEPTEMBER-2024,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9751,1145,3457,0,0,0,3943,0,267,0,0,0,315,298,4085,769,0,1755,,,,,,
MSitAE-SEPTEMBER-2024,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2247,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5902,1183,156,125,0,0,2484,0,0,38,0,0,454,284,1438,0,0,152,,,,,,
MSitAE-SEPTEMBER-2024,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4571,0,0,0,0,0,722,0,0,0,0,0,0,0,978,0,0,168,,,,,,
MSitAE-SEPTEMBER-2024,Y07709,NHS ENGLAND SOUTH EAST ,READING URGENT CARE CENTRE,0,0,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,8415,0,0,352,0,0,503,0,0,47,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1811,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5201,0,0,233,0,0,144,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,23533,3004,11304,3290,428,976,10679,117,570,1411,13,87,3878,179,5452,137,168,455,,,,,,
MSitAE-SEPTEMBER-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5058,0,0,0,0,0,776,0,0,0,0,0,0,0,862,0,0,308,,,,,,
MSitAE-SEPTEMBER-2024,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,7912,0,7595,0,0,834,2844,0,145,0,0,0,742,20,4144,0,0,541,,,,,,
MSitAE-SEPTEMBER-2024,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,12531,0,5773,127,0,13,5764,0,13,43,0,0,797,369,3329,0,0,887,,,,,,
MSitAE-SEPTEMBER-2024,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,,,,,,
MSitAE-SEPTEMBER-2024,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,13080,0,10362,0,0,0,4577,0,581,0,0,0,431,1146,4211,0,65,1770,,,,,,
MSitAE-SEPTEMBER-2024,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,2197,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,2529,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4900,0,0,253,0,0,71,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6573,0,1514,596,0,7,1668,0,0,129,0,0,219,2,2356,0,0,994,,,,,,
MSitAE-SEPTEMBER-2024,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,29860,0,5542,5,0,1,9787,0,208,2,0,0,3285,87,8684,0,224,1203,,,,,,
MSitAE-SEPTEMBER-2024,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,,
MSitAE-SEPTEMBER-2024,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4224,0,0,327,0,3705,1431,0,0,76,0,7,200,45,1826,0,0,460,,,,,,
MSitAE-SEPTEMBER-2024,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,15695,0,7173,0,0,792,5895,0,0,0,0,0,80,6,4430,0,0,2162,,,,,,
MSitAE-SEPTEMBER-2024,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,10220,348,6615,0,0,0,5877,0,234,0,0,0,876,645,4299,0,0,1617,,,,,,
MSitAE-SEPTEMBER-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5682,255,0,462,0,0,2290,0,0,0,0,0,420,93,1421,0,0,532,,,,,,
MSitAE-SEPTEMBER-2024,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6549,0,1163,0,0,0,2687,0,0,0,0,0,264,87,2094,0,0,225,,,,,,
MSitAE-SEPTEMBER-2024,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,6479,0,12187,0,0,0,4002,0,871,0,0,0,578,605,2341,0,56,1333,,,,,,
MSitAE-SEPTEMBER-2024,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1377,0,0,127,0,0,258,0,0,0,0,0,0,0,132,0,14,,,,,,
MSitAE-SEPTEMBER-2024,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,13806,0,4577,255,0,473,5236,0,222,84,0,13,509,732,3535,0,34,1405,,,,,,
