Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-NOVEMBER-2024,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15295,0,0,0,0,0,5422,0,0,0,0,0,1160,16,3104,0,0,316
MSitAE-NOVEMBER-2024,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2593,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1704,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,932,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5559,0,0,271,0,0,358,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2243,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2435,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
MSitAE-NOVEMBER-2024,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,9116,151,4749,0,0,0,4665,0,93,0,0,0,567,604,2876,0,0,1468
MSitAE-NOVEMBER-2024,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2822,0,0,0,0,0,40,0,0,0,0,0,0,0,0,133
MSitAE-NOVEMBER-2024,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
MSitAE-NOVEMBER-2024,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1581,0,0,17,0,0,95,0,0,1,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,Y07709,NHS ENGLAND SOUTH EAST ,READING URGENT CARE CENTRE,0,0,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2024,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6145,0,3036,470,0,152,2998,0,16,208,0,2,355,102,2155,0,0,1229
MSitAE-NOVEMBER-2024,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7229,0,2646,0,0,48,4248,0,49,0,0,5,693,490,2460,0,0,1080
MSitAE-NOVEMBER-2024,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
