"OrganisationCode","CanonicalOrganisationName","OrganisationType","RegionCode","RegionName","ICSCode","ICSName","ValidFromMonth","ValidToMonth","StableAllThreeMonths","InclusionFlag","ReportingCohort","ObservedAliases","MappingStatus","ReviewNote"
"R0A","Manchester University NHS Foundation Trust","Acute","Y62","North West","QOP","Greater Manchester","2024-04-30","2025-03-31","True","False","National stable reference","Manchester University NHS Foundation Trust","Approved",""
"R0B","South Tyneside and Sunderland NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QHM","North East and North Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","South Tyneside and Sunderland NHS Foundation Trust","Approved",""
"R0D","University Hospitals Dorset NHS Foundation Trust","Acute","Y58","South West","QVV","Dorset","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals Dorset NHS Foundation Trust","Approved",""
"R1D","Shropshire Community Health NHS Trust","Community Provider Trust","Y60","Midlands","QOC","Shropshire, Telford and Wrekin","2024-04-30","2025-03-31","True","False","National stable reference","Shropshire Community Health NHS Trust","Approved",""
"R1F","Isle of Wight NHS Trust","Acute","Y59","South East","QRL","Hampshire and Isle of Wight","2024-04-30","2025-03-31","True","False","National stable reference","Isle of Wight NHS Trust","Approved",""
"R1H","Barts Health NHS Trust","Acute","Y56","London","QMF","North East London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Barts Health NHS Trust","Approved",""
"R1K","London North West University Healthcare NHS Trust","Acute","Y56","London","QRV","North West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","London North West University Healthcare NHS Trust","Approved",""
"RA2","Royal Surrey County Hospital NHS Foundation Trust","Acute","Y59","South East","QXU","Surrey Heartlands","2024-04-30","2025-03-31","True","False","National stable reference","Royal Surrey County Hospital NHS Foundation Trust","Approved",""
"RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Acute","Y58","South West","QUY","Bristol, North Somerset and South Gloucestershire","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals Bristol and Weston NHS Foundation Trust","Approved",""
"RA9","Torbay and South Devon NHS Foundation Trust","Acute","Y58","South West","QJK","Devon","2024-04-30","2025-03-31","True","False","National stable reference","Torbay and South Devon NHS Foundation Trust","Approved",""
"RAE","Bradford Teaching Hospitals NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QWO","West Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Bradford Teaching Hospitals NHS Foundation Trust","Approved",""
"RAJ","Mid and South Essex NHS Foundation Trust","Acute","Y61","East of England","QH8","Mid and South Essex","2024-04-30","2025-03-31","True","False","National stable reference","Mid and South Essex NHS Foundation Trust","Approved",""
"RAL","Royal Free London NHS Foundation Trust","Acute","Y56","London","QMJ","North Central London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Royal Free London NHS Foundation Trust","Approved",""
"RAN","Royal National Orthopaedic Hospital NHS Trust","Acute","Y56","London","QRV","North West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Royal National Orthopaedic Hospital NHS Trust","Approved",""
"RAS","Hillingdon Hospitals NHS Foundation Trust","Acute","Y56","London","QRV","North West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Hillingdon Hospitals NHS Foundation Trust","Approved",""
"RAX","Kingston and Richmond NHS Foundation Trust","Acute","Y56","London","QWE","South West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Kingston Hospital NHS Foundation Trust; Kingston and Richmond NHS Foundation Trust","Approved alias history","Published organisation name changed during the reporting window."
"RBD","Dorset County Hospital NHS Foundation Trust","Acute","Y58","South West","QVV","Dorset","2024-04-30","2025-03-31","True","False","National stable reference","Dorset County Hospital NHS Foundation Trust","Approved",""
"RBK","Walsall Healthcare NHS Trust","Acute","Y60","Midlands","QUA","Black Country","2024-04-30","2025-03-31","True","False","National stable reference","Walsall Healthcare NHS Trust","Approved",""
"RBL","Wirral University Teaching Hospital NHS Foundation Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Wirral University Teaching Hospital NHS Foundation Trust","Approved",""
"RBN","Mersey and West Lancashire Teaching Hospitals NHS Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Mersey and West Lancashire Teaching Hospitals NHS Trust","Approved",""
"RBQ","Liverpool Heart and Chest Hospital NHS Foundation Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Liverpool Heart and Chest Hospital NHS Foundation Trust","Approved",""
"RBS","Alder Hey Children's NHS Foundation Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Alder Hey Children's NHS Foundation Trust","Approved",""
"RBT","Mid Cheshire Hospitals NHS Foundation Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Mid Cheshire Hospitals NHS Foundation Trust","Approved",""
"RBV","Christie NHS Foundation Trust","Acute","Y62","North West","QOP","Greater Manchester","2024-04-30","2025-03-31","True","False","National stable reference","Christie NHS Foundation Trust","Approved",""
"RC9","Bedfordshire Hospitals NHS Foundation Trust","Acute","Y61","East of England","QHG","Bedfordshire, Luton and Milton Keynes","2024-04-30","2025-03-31","True","False","National stable reference","Bedfordshire Hospitals NHS Foundation Trust","Approved",""
"RCB","York and Scarborough Teaching Hospitals NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QOQ","Humber and North Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","York and Scarborough Teaching Hospitals NHS Foundation Trust","Approved",""
