OrganisationCode,CanonicalOrganisationName,WorkforceFTEApril,FourHourPerformanceApril,WorkforceFTEMarch,FourHourPerformanceMarch,FTEChangePct,FourHourPerformanceChangePP,StableFTE,DeterioratingPerformance,SelectedForReview
RAS,Hillingdon Hospitals NHS Foundation Trust,3332.1041800000003,0.7905416329830235,3432.5449399999998,0.7578458257160268,3.01433432372451,-3.2695807266996724,True,True,True
RVR,Epsom and St Helier University Hospitals NHS Trust,6378.30193,0.7637166121299749,6333.69446,0.7412888176118968,-0.6993627847905914,-2.242779451807808,True,True,True
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,6733.37911,0.8174330548832852,7061.88335,0.7991161848646658,4.8787426733796435,-1.831687001861937,False,False,False
RYX,Central London Community Healthcare NHS Trust,4606.5256500000005,0.9762103893690177,4732.95748,0.9688366169750543,2.744624465512291,-0.7373772393963418,True,False,False
RQX,Homerton Healthcare NHS Foundation Trust,4067.1636799999997,0.8329558323895809,4176.89168,0.8284213338082094,2.6978997806156757,-0.453449858137156,True,False,False
RYJ,Imperial College Healthcare NHS Trust,13357.96782,0.7619383882072557,14047.03183,0.7585887113771446,5.158449393539555,-0.33496768301111146,False,False,False
RKE,Whittington Health NHS Trust,4672.18614,0.7192453672694799,4890.36095,0.7198879551820728,4.669651496376392,0.06425879125929734,False,False,False
RP6,Moorfields Eye Hospital NHS Foundation Trust,2328.71434,0.9818181818181818,2500.44342,0.9841077906374158,7.374415876186857,0.22896088192340125,False,False,False
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7839.7056600000005,0.7814324913811299,8220.17653,0.7838773808760341,4.85312697313689,0.24448894949041788,False,False,False
RJ2,Lewisham and Greenwich NHS Trust,6864.30746,0.646746673197812,7065.92816,0.6574566606712334,2.9372329426514465,1.0709987473421445,True,False,False
R1K,London North West University Healthcare NHS Trust,8344.16382,0.7692335713244937,8752.09072,0.7810988715744224,4.888769070212251,1.1865300249928712,False,False,False
RAX,Kingston and Richmond NHS Foundation Trust,3672.00106,0.7643870449678801,4397.59202,0.7818002709025982,19.760096692346817,1.7413225934718057,False,False,False
RJZ,King's College Hospital NHS Foundation Trust,13320.43987,0.6881011048406327,12946.993330000001,0.721932804832012,-2.803560119970716,3.383169999137936,True,False,False
RAL,Royal Free London NHS Foundation Trust,11096.80409,0.7122062168309325,16211.18465,0.7479988830975428,46.088770411013,3.5792666266610262,False,False,False
RJ7,St George's University Hospitals NHS Foundation Trust,9508.59202,0.7974350804524455,9911.30381,0.8364031147050015,4.235241023623182,3.8968034252556016,False,False,False
RJ1,Guy's and St Thomas' NHS Foundation Trust,21512.12346,0.7467338986935594,21801.38035,0.7912615996464869,1.3446226753851098,4.452770095292746,True,False,False
RJ6,Croydon Health Services NHS Trust,4212.55164,0.7669881264284519,4302.76929,0.8209970610645477,2.1416390280737385,5.400893463609579,True,False,False
R1H,Barts Health NHS Trust,18921.30471,0.6544130144470074,19327.77668,0.7087939026564449,2.1482237944467686,5.438088820943754,True,False,False
RRV,University College London Hospitals NHS Foundation Trust,10367.39657,0.6696232339089482,10924.12643,0.7283481502724405,5.370006406536065,5.872491636349231,False,False,False
RAN,Royal National Orthopaedic Hospital NHS Trust,1602.5413899999999,,1719.08438,,7.272385644903689,,False,False,False
