OrganisationCode,CanonicalOrganisationName,OrganisationType,RegionName,ReportingMonth,WorkforceFTE,Headcount,ORG_CODE,FTEDaysLost,FTEDaysAvailable,SicknessAbsenceRate,Org Code,TotalAttendances,AttendancesOverFourHours,EmergencyAdmissions,Waits12PlusHoursDTA,FourHourPerformance,EstimatedAvailableFTE
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-04-01,3332.1041800000003,3654,RAS,4540.26105,103121.08029,0.04402844730904438,RAS,12370,2591,2720,16,0.7905416329830235,3185.3968066826237
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-05-01,3332.01815,3654,RAS,5033.02453,106654.93946,0.04718979313553116,RAS,13106,3166,2836,13,0.7584312528612849,3174.780902777665
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-06-01,3324.53315,3646,RAS,5058.60725,103386.19158,0.04892923486871708,RAS,12525,3628,2770,10,0.7103393213572855,3161.8662866748145
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-07-01,3327.81749,3651,RAS,5413.407,106672.68391,0.05074782785597955,RAS,12878,3655,2778,17,0.7161826370554434,3158.937980881362
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-08-01,3338.52286,3669,RAS,4769.78294,106825.52118,0.04465021922956931,RAS,11898,3344,2589,10,0.7189443603967054,3189.457082398071
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-09-01,3357.2349299999996,3689,RAS,5414.75398,103860.95475,0.052134644756864225,RAS,12330,3821,2431,39,0.6901054339010544,3182.2066795591136
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-10-01,3388.43993,3726,RAS,6059.42067,107930.01564,0.05614212723002993,RAS,12823,3802,2080,13,0.7035015207049833,3198.205704338626
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-11-01,3409.18993,3747,RAS,5741.08861,105128.03341,0.05461044427236375,RAS,13274,3965,1902,14,0.7012957661594094,3223.0125533138316
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2024-12-01,3419.5416,3759,RAS,6382.68277,109087.10921,0.058509963424852596,RAS,13118,3987,2017,43,0.6960664735477969,3219.464346054238
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2025-01-01,3436.2096300000003,3778,RAS,5935.32293,109275.17497,0.05431538253431726,RAS,12551,3689,1815,79,0.7060791968767428,3249.5705894784455
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2025-02-01,3434.90566,3775,RAS,5142.26759,98868.76851,0.052011041176060466,RAS,11609,3298,1715,94,0.7159100697734516,3256.2526402818567
RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,London,2025-03-01,3432.5449399999998,3769,RAS,5825.94543,109424.63223,0.05324162678248189,RAS,13128,3179,1883,69,0.7578458257160268,3249.790663390423
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-04-01,6378.30193,7157,RVR,9033.25878,197182.40249,0.045811688395764,RVR,13141,3105,1836,651,0.7637166121299749,6086.10114948874
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-05-01,6339.57494,7123,RVR,8971.56092,202345.99361,0.04433772450811017,RVR,13925,3131,1849,661,0.7751526032315978,6058.492612811761
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-06-01,6345.3448,7132,RVR,9721.40891,196157.54342,0.049559189723258006,RVR,13527,2992,1849,668,0.7788127448806091,6030.874653197311
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-07-01,6344.0812,7135,RVR,10490.5077,202207.76095,0.05187984699852343,RVR,13564,3289,1933,640,0.7575199056325568,6014.9512379977905
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-08-01,6351.39031,7134,RVR,9661.53726,202290.24134,0.04776076787491364,RVR,12182,2737,1791,498,0.7753242488918076,6048.043031721114
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-09-01,6348.40685,7133,RVR,9490.60498,195576.41699,0.048526326057426766,RVR,12848,3146,1881,596,0.7551369863013698,6040.341989251699
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-10-01,6370.41183,7157,RVR,10180.58951,202479.58537,0.05027958493394064,RVR,13320,3367,1938,659,0.7472222222222222,6050.110167329334
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-11-01,6356.14126,7143,RVR,10260.31526,196039.88786,0.05233789598638878,RVR,13685,3792,2074,652,0.7229082937522835,6023.474199859326
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2024-12-01,6346.65823,7130,RVR,11561.52526,202410.81961,0.05711910698388778,RVR,13874,3909,2116,741,0.7182499639613666,5984.1427795704585
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2025-01-01,6359.85447,7156,RVR,11726.74709,202180.4238,0.058001397314313086,RVR,12839,3243,1921,739,0.7474102344419347,5990.97402402432
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2025-02-01,6346.73246,7142,RVR,9802.12231,182749.91605,0.05363680882522627,RVR,11777,3135,1797,652,0.733803175681413,6006.313984378122
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,London,2025-03-01,6333.69446,7130,RVR,9552.46374,201880.80287,0.04731734570201434,RVR,13718,3549,1914,706,0.7412888176118968,6034.000849665247
